Maturity,Option Type,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
03/29/2019,PUT,GOOG190329P01227500,2019-03-25 2:04PM EDT,1227.5,38.9,35,36.4,15.6,0.6695,3,14,0.2131
03/29/2019,PUT,GOOG190329P01230000,2019-03-25 11:46AM EDT,1230,33.75,37.3,38.8,6.25,0.2273,3,44,0.22
03/29/2019,PUT,GOOG190329P01242500,2019-03-25 9:38AM EDT,1242.5,40.2,48.9,50.8,4.7,0.1324,1,4,0.2484
03/29/2019,PUT,GOOG190329P01247500,2019-03-22 12:13PM EDT,1247.5,41.8,53.8,55.7,0,-,4,2,0.2616
03/29/2019,PUT,GOOG190329P01250000,2019-03-25 9:51AM EDT,1250,48.3,56.3,58.1,4,0.0903,1,40,0.2652
03/29/2019,PUT,GOOG190329P01277500,2019-03-18 12:02AM EDT,1277.5,87.5,83.7,85.6,0,-,1,0,0.3574
03/29/2019,PUT,GOOG190329P01282500,2019-03-18 12:02AM EDT,1282.5,92.2,84.7,92.8,0,-,1,0,0.4822
03/29/2019,PUT,GOOG190329P01315000,2019-03-18 12:02AM EDT,1315,124.6,117.2,126.8,0,-,2,0,0.6606
04/05/2019,CALL,GOOG190405C00910000,2019-03-25 9:34AM EDT,910,289.4,280.2,289,14.2,0.0516,1,0,0.7827
04/05/2019,CALL,GOOG190405C00960000,2019-02-25 2:43PM EDT,960,156.63,229.8,239,0,-,16,16,0.6343
04/05/2019,CALL,GOOG190405C00980000,2019-02-25 2:43PM EDT,980,137.3,209.8,219,0,-,19,17,0.583
04/05/2019,CALL,GOOG190405C01000000,2019-03-13 2:56PM EDT,1000,200.2,189.9,199,0,-,1,22,0.5354
04/05/2019,CALL,GOOG190405C01020000,2019-03-01 11:22AM EDT,1020,115.65,169.9,179.5,0,-,16,16,0.6777
04/05/2019,CALL,GOOG190405C01030000,2019-03-22 11:48PM EDT,1030,157.45,172.9,182.2,0,-,1,0,0.8307
04/05/2019,CALL,GOOG190405C01040000,2019-03-06 12:54PM EDT,1040,124.7,149.7,159.4,0,-,2,2,0.6114
04/05/2019,CALL,GOOG190405C01045000,2019-03-06 10:58AM EDT,1045,121.8,144.9,154.5,0,-,5,5,0.5981
04/05/2019,CALL,GOOG190405C01050000,2019-03-21 12:08PM EDT,1050,177.59,139.7,149.5,0,-,1,3,0.5823
04/05/2019,CALL,GOOG190405C01055000,2019-03-06 10:58AM EDT,1055,112.3,134.9,144.3,0,-,5,5,0.5613
04/05/2019,CALL,GOOG190405C01060000,2019-03-18 12:00AM EDT,1060,134,130.1,139.5,0,-,2,2,0.5505
04/05/2019,CALL,GOOG190405C01070000,2019-03-07 12:52PM EDT,1070,85.3,120.2,129.5,0,-,1,1,0.5186
04/05/2019,CALL,GOOG190405C01075000,2019-03-13 11:42AM EDT,1075,127.51,115.1,124.5,0,-,1,1,0.5026
04/05/2019,CALL,GOOG190405C01080000,2019-03-20 2:04PM EDT,1080,136.4,110.6,120,0,-,1,4,0.4979
04/05/2019,CALL,GOOG190405C01082500,2019-03-15 2:28PM EDT,1082.5,107.38,108.2,117.5,0,-,1,2,0.4898
04/05/2019,CALL,GOOG190405C01087500,2019-03-18 12:00AM EDT,1087.5,99.5,102.9,111.6,0,-,5,5,0.4534
04/05/2019,CALL,GOOG190405C01090000,2019-03-08 11:36AM EDT,1090,62.2,100.4,109.3,0,-,1,1,0.45
04/05/2019,CALL,GOOG190405C01095000,2019-03-13 11:42AM EDT,1095,108.05,96.1,105,0,-,1,1,0.4489
04/05/2019,CALL,GOOG190405C01097500,2019-03-07 3:56PM EDT,1097.5,54.5,94.3,102.8,0,-,6,6,0.447
04/05/2019,CALL,GOOG190405C01100000,2019-03-25 1:46PM EDT,1100,93.7,92.4,99.9,5.2,0.0588,3,10,0.4304
04/05/2019,CALL,GOOG190405C01102500,2019-03-25 12:36PM EDT,1102.5,92.2,90.3,97.6,-32.96,-0.2633,2,1,0.4263
04/05/2019,CALL,GOOG190405C01105000,2019-03-22 11:48PM EDT,1105,77.7,99.1,108,0,-,1,1,0.5662
04/05/2019,CALL,GOOG190405C01107500,2019-03-01 11:34AM EDT,1107.5,42.5,84.9,93.2,0,-,2,0,0.4215
04/05/2019,CALL,GOOG190405C01110000,2019-03-25 11:49AM EDT,1110,89.2,82.6,87.8,39.01,0.7772,2,5,0.3531
04/05/2019,CALL,GOOG190405C01112500,2019-03-06 4:53PM EDT,1112.5,57.7,79.9,87.2,0,-,1,2,0.3852
04/05/2019,CALL,GOOG190405C01115000,2019-03-05 11:40AM EDT,1115,56,77.6,84.9,0,-,2,3,0.3808
04/05/2019,CALL,GOOG190405C01117500,2019-03-06 11:38AM EDT,1117.5,53.9,75.2,82.5,0,-,1,0,0.3743
04/05/2019,CALL,GOOG190405C01120000,2019-03-25 12:36PM EDT,1120,76.1,75,78.9,-15.5,-0.1692,4,21,0.3446
04/05/2019,CALL,GOOG190405C01122500,2019-03-22 11:51AM EDT,1122.5,89.2,70.6,77.8,0,-,1,6,0.363
04/05/2019,CALL,GOOG190405C01125000,2019-03-11 11:12AM EDT,1125,73,70.7,72.4,22.72,0.4519,3,1,0.2976
04/05/2019,CALL,GOOG190405C01127500,2019-03-13 9:30AM EDT,1127.5,76.5,68.4,70,-0.5,-0.0065,2,10,0.2919
04/05/2019,CALL,GOOG190405C01130000,2019-03-15 2:47PM EDT,1130,63.7,66.1,67.7,0,-,1,22,0.2882
04/05/2019,CALL,GOOG190405C01132500,2019-03-06 2:04PM EDT,1132.5,25,63.9,65.4,0,-,2,3,0.2842
04/05/2019,CALL,GOOG190405C01135000,2019-03-25 3:29PM EDT,1135,65.8,61.6,63.1,-7.94,-0.1077,1,6,0.28
04/05/2019,CALL,GOOG190405C01137500,2019-03-25 3:13PM EDT,1137.5,60.6,59.3,60.9,1.78,0.0303,2,4,0.2775
04/05/2019,CALL,GOOG190405C01140000,2019-03-22 12:13PM EDT,1140,59.3,57.1,58.6,-13.2,-0.1821,1,7,0.2728
04/05/2019,CALL,GOOG190405C01142500,2019-03-12 9:37AM EDT,1142.5,57.63,55,56.4,0,-,1,1,0.2697
