,date,ticker,field,value
241,2016-06-13,SPX Index,PX_LAST,2079.06
242,2016-06-14,SPX Index,PX_LAST,2075.32
243,2016-06-15,SPX Index,PX_LAST,2071.5
244,2016-06-16,SPX Index,PX_LAST,2077.99
245,2016-06-17,SPX Index,PX_LAST,2071.22
246,2016-06-20,SPX Index,PX_LAST,2083.25
247,2016-06-21,SPX Index,PX_LAST,2088.9
248,2016-06-22,SPX Index,PX_LAST,2085.45
249,2016-06-23,SPX Index,PX_LAST,2113.32
250,2016-06-24,SPX Index,PX_LAST,2037.41
251,2016-06-27,SPX Index,PX_LAST,2000.54
252,2016-06-28,SPX Index,PX_LAST,2036.09
253,2016-06-29,SPX Index,PX_LAST,2070.77
254,2016-06-30,SPX Index,PX_LAST,2098.86
255,2016-07-01,SPX Index,PX_LAST,2102.95
256,2016-07-05,SPX Index,PX_LAST,2088.55
257,2016-07-06,SPX Index,PX_LAST,2099.73
258,2016-07-07,SPX Index,PX_LAST,2097.9
259,2016-07-08,SPX Index,PX_LAST,2129.9
260,2016-07-11,SPX Index,PX_LAST,2137.16
261,2016-07-12,SPX Index,PX_LAST,2152.14
262,2016-07-13,SPX Index,PX_LAST,2152.43
263,2016-07-14,SPX Index,PX_LAST,2163.75
264,2016-07-15,SPX Index,PX_LAST,2161.74
265,2016-07-18,SPX Index,PX_LAST,2166.89
266,2016-07-19,SPX Index,PX_LAST,2163.78
267,2016-07-20,SPX Index,PX_LAST,2173.02
268,2016-07-21,SPX Index,PX_LAST,2165.17
269,2016-07-22,SPX Index,PX_LAST,2175.03
270,2016-07-25,SPX Index,PX_LAST,2168.48
271,2016-07-26,SPX Index,PX_LAST,2169.18
272,2016-07-27,SPX Index,PX_LAST,2166.58
273,2016-07-28,SPX Index,PX_LAST,2170.06
274,2016-07-29,SPX Index,PX_LAST,2173.6
275,2016-08-01,SPX Index,PX_LAST,2170.84
276,2016-08-02,SPX Index,PX_LAST,2157.03
277,2016-08-03,SPX Index,PX_LAST,2163.79
278,2016-08-04,SPX Index,PX_LAST,2164.25
279,2016-08-05,SPX Index,PX_LAST,2182.87
280,2016-08-08,SPX Index,PX_LAST,2180.89
281,2016-08-09,SPX Index,PX_LAST,2181.74
282,2016-08-10,SPX Index,PX_LAST,2175.49
283,2016-08-11,SPX Index,PX_LAST,2185.79
284,2016-08-12,SPX Index,PX_LAST,2184.05
285,2016-08-15,SPX Index,PX_LAST,2190.15
286,2016-08-16,SPX Index,PX_LAST,2178.15
287,2016-08-17,SPX Index,PX_LAST,2182.22
288,2016-08-18,SPX Index,PX_LAST,2187.02
289,2016-08-19,SPX Index,PX_LAST,2183.87
290,2016-08-22,SPX Index,PX_LAST,2182.64
291,2016-08-23,SPX Index,PX_LAST,2186.9
292,2016-08-24,SPX Index,PX_LAST,2175.44
293,2016-08-25,SPX Index,PX_LAST,2172.47
294,2016-08-26,SPX Index,PX_LAST,2169.04
