,K,F,Moneyness,opt_type,T,price,implied_vol
187,2490.0,2749.32989979,90.5675233877,put,0.02,0.575,31.8388349615
188,3000.0,2757.92120455,108.777582008,call,0.54,18.7,11.1737713583
189,2475.0,2770.19359925,89.3439361303,put,1.28,98.25,18.2278446717
190,3700.0,2757.92120455,134.15901781,call,0.54,0.4,14.9422192901
191,1675.0,2761.89547187,60.6467557176,put,0.78,5.45,29.1801883961
192,1800.0,2778.51665839,64.7827679766,put,1.78,31.85,24.7331886758
193,3200.0,2778.51665839,115.169365292,call,1.78,60.4,13.049929403
194,1500.0,2778.51665839,53.9856399805,put,1.78,14.0,27.4833468107
195,1790.0,2749.32989979,65.1067738409,put,0.02,0.025,89.4494827457
196,3200.0,2757.92120455,116.029420809,call,0.54,3.4,11.1875650282
197,1600.0,2749.32989979,58.195998964,put,0.02,0.025,111.465834434
198,650.0,2778.51665839,23.3937773249,put,1.78,0.575,39.3436635493
199,1925.0,2761.89547187,69.6985103024,put,0.78,13.3,26.1215390203
200,2185.0,2749.32989979,79.4739110852,put,0.02,0.075,54.3633965093
201,1600.0,2795.23787182,57.2402090044,put,2.78,36.4,25.107391635
202,2600.0,2757.92120455,94.2739044072,put,0.54,73.7,17.6967649792
203,2565.0,2749.32989979,93.2954608391,put,0.02,1.225,26.4237910977
204,2835.0,2749.32989979,103.116035664,call,0.02,0.425,11.1226611005
205,2290.0,2749.32989979,83.2930235172,put,0.02,0.125,46.1792740885
206,2475.0,2778.51665839,89.0763059679,put,1.78,136.3,18.8120915298
207,400.0,2778.51665839,14.3961706615,put,1.78,0.2,47.5719294458
208,1970.0,2749.32989979,71.6538237244,put,0.02,0.05,74.2842476533
209,2900.0,2752.13564698,105.372713121,call,0.19,8.0,10.450475562
210,700.0,2778.51665839,25.1932986576,put,1.78,0.7,38.1254220303
211,2050.0,2761.89547187,74.2243875947,put,0.78,20.15,24.6524860437
212,4200.0,2778.51665839,151.159791945,call,1.78,1.85,13.1589062481
213,2050.0,2770.19359925,74.0020481079,put,1.28,39.6,23.3894163377
214,2115.0,2749.32989979,76.9278361305,put,0.02,0.05,59.4146932652
215,1775.0,2749.32989979,64.5611863507,put,0.02,0.025,91.1061631641
216,2700.0,2778.51665839,97.174151965,put,1.78,203.6,16.7044464089
217,4000.0,2795.23787182,143.100522511,call,2.78,12.2,12.5598455468
218,1750.0,2761.89547187,63.3622820931,put,0.78,7.2,28.2487540955
219,1975.0,2778.51665839,71.081092641,put,1.78,48.55,23.1968472342
220,1100.0,2757.92120455,39.885113403,put,0.54,0.4,44.3757074079
221,2075.0,2778.51665839,74.6801353064,put,1.78,60.9,22.340163688
222,2045.0,2749.32989979,74.3817611758,put,0.02,0.05,66.4821872424
223,1525.0,2778.51665839,54.8854006469,put,1.78,15.2,27.2906824435
224,1625.0,2770.19359925,58.6601600856,put,1.28,12.1,27.7920422612
225,2910.0,2749.32989979,105.843973116,call,0.02,0.075,15.1426192011
226,1700.0,2778.51665839,61.1837253113,put,1.78,24.65,25.6436933718
227,1875.0,2757.92120455,67.9859887552,put,0.54,6.1,28.5330700632
228,1175.0,2761.89547187,42.5432465482,put,0.78,0.825,37.0853107032
229,1875.0,2761.89547187,67.8881593854,put,0.78,11.2,26.7169974815
230,2150.0,2778.51665839,77.3794173054,put,1.78,71.65,21.6940031287
231,3150.0,2761.89547187,114.052107768,call,0.78,12.1,11.1272281281
232,2925.0,2795.23787182,104.642257086,call,2.78,236.95,15.8907076633
233,4100.0,2757.92120455,148.662695411,call,0.54,0.05,16.3229758886
234,3500.0,2778.51665839,125.966493288,call,1.78,16.15,11.9448484447
235,2150.0,2757.92120455,77.9572671059,put,0.54,16.65,24.5249899233
