,K,F,Moneyness,opt_type,T,price,implied_vol
370,2720.0,2749.32989979,98.9331982387,put,0.02,12.95,16.1513986133
371,2630.0,2749.32989979,95.659673297,put,0.02,2.95,22.1011019103
372,2800.0,2778.51665839,100.77319463,call,1.78,223.45,15.9560584356
373,2175.0,2770.19359925,78.5143681145,put,1.28,53.9,22.1285278736
374,2350.0,2778.51665839,84.5775026362,put,1.78,107.55,19.9394764169
375,3125.0,2757.92120455,113.309981259,call,0.54,5.6,10.748342546
376,2765.0,2749.32989979,100.56996071,call,0.02,14.05,13.4753385808
377,2530.0,2749.32989979,92.0224233618,put,0.02,0.825,28.8491013884
378,2230.0,2749.32989979,81.110673556,put,0.02,0.1,51.2007806983
379,2945.0,2752.13564698,107.007806946,call,0.19,3.35,10.0945029279
380,3075.0,2761.89547187,111.336581392,call,0.78,21.55,11.4291333381
381,1775.0,2761.89547187,64.2674575515,put,0.78,7.85,27.919878897
382,2440.0,2749.32989979,88.7488984201,put,0.02,0.4,35.7449703801
383,2550.0,2795.23787182,91.2265831007,put,2.78,212.5,18.3109476051
384,2340.0,2749.32989979,85.1116484848,put,0.02,0.175,42.5952668547
385,2520.0,2749.32989979,91.6586983683,put,0.02,0.75,29.5914559332
386,1300.0,2770.19359925,46.9281280684,put,1.28,4.15,31.6429142231
387,2900.0,2749.32989979,105.480248122,call,0.02,0.075,14.3212034547
388,2125.0,2749.32989979,77.291561124,put,0.02,0.075,60.4274211246
389,1925.0,2770.19359925,69.4897281013,put,1.28,28.55,24.6421187056
390,850.0,2761.89547187,30.7759655881,put,0.78,0.325,45.949730465
391,3275.0,2778.51665839,117.868647291,call,1.78,43.95,12.6470822799
392,2750.0,2770.19359925,99.2710401448,put,1.28,185.5,15.8235655437
393,2345.0,2749.32989979,85.2935109816,put,0.02,0.2,42.6755127943
394,2850.0,2770.19359925,102.88089615,call,1.28,151.55,14.9959837368
395,2825.0,2761.89547187,102.284826807,call,0.78,112.5,14.4744982574
396,3050.0,2778.51665839,109.770801294,call,1.78,107.25,14.0689467242
397,1200.0,2778.51665839,43.1885119844,put,1.78,5.3,30.6115771235
398,2800.0,2757.92120455,101.525743208,call,0.54,96.6,14.3373710218
399,3075.0,2770.19359925,111.003072162,call,1.28,57.25,12.7497032254
400,2850.0,2778.51665839,102.572715963,call,1.78,196.85,15.5813766318
401,3600.0,2761.89547187,130.34526602,call,0.78,1.575,13.3499506652
402,2240.0,2749.32989979,81.4743985496,put,0.02,0.1,50.1953582168
403,1425.0,2778.51665839,51.2863579815,put,1.78,11.25,28.2642924138
404,2725.0,2795.23787182,97.4872309606,put,2.78,273.05,17.0247345259
405,2935.0,2749.32989979,106.7532856,call,0.02,0.05,16.4892185008
406,2820.0,2749.32989979,102.570448174,call,0.02,0.925,10.9776401232
407,3250.0,2770.19359925,117.320320171,call,1.28,21.4,11.6417529351
408,2445.0,2749.32989979,88.9307609168,put,0.02,0.375,34.9224576154
409,4200.0,2761.89547187,152.069477023,call,0.78,0.175,15.7774135469
410,1775.0,2757.92120455,64.3600693549,put,0.54,4.2,30.0912988407
411,1950.0,2770.19359925,70.3921921027,put,1.28,30.5,24.3850795801
412,1325.0,2749.32989979,48.193561642,put,0.02,0.025,148.230819045
413,1000.0,2795.23787182,35.7751306277,put,2.78,6.55,30.5106324309
414,3150.0,2770.19359925,113.710464166,call,1.28,38.1,12.1729788456
415,2930.0,2749.32989979,106.571423103,call,0.02,0.05,16.1012228922
416,2050.0,2757.92120455,74.3313477057,put,0.54,11.65,25.9662305156
417,2485.0,2749.32989979,90.3856608909,put,0.02,0.55,32.203538561
418,2680.0,2749.32989979,97.4782982646,put,0.02,6.45,18.7728084869
419,2275.0,2761.89547187,82.370966721,put,0.78,39.9,21.9037377532
420,2400.0,2749.32989979,87.293998446,put,0.02,0.275,38.3606551599
421,1500.0,2749.32989979,54.5587490287,put,0.02,0.025,124.07174234
422,3275.0,2749.32989979,119.119935379,call,0.02,0.025,38.0872434553
423,2170.0,2749.32989979,78.9283235949,put,0.02,0.075,55.8671913381
424,2900.0,2761.89547187,105.000353183,call,0.78,75.0,13.3611379109
425,3175.0,2757.92120455,115.122940959,call,0.54,3.9,10.9849051621
426,3400.0,2770.19359925,122.735104179,call,1.28,9.6,11.4590664247
427,1670.0,2749.32989979,60.7420739186,put,0.02,0.025,103.081722896
428,1600.0,2770.19359925,57.7576960842,put,1.28,11.25,28.089064919
429,2575.0,2778.51665839,92.6753486332,put,1.78,163.65,17.9011752689
430,1225.0,2778.51665839,44.0882726508,put,1.78,5.8,30.3407277499
431,3800.0,2757.92120455,137.78493721,call,0.54,0.275,15.5469025261
432,2295.0,2749.32989979,83.4748860139,put,0.02,0.15,46.4971819425
433,3025.0,2749.32989979,110.026810541,call,0.02,0.025,21.887629423
434,1980.0,2749.32989979,72.0175487179,put,0.02,0.05,73.2293748095
435,2600.0,2761.89547187,94.1382476811,put,0.78,98.05,17.7168420882
436,1425.0,2761.89547187,51.5950011329,put,0.78,2.15,32.753294
437,2855.0,2749.32989979,103.843485651,call,0.02,0.2,11.8618211704
438,1850.0,2749.32989979,67.2891238021,put,0.02,0.025,82.9478982369
439,3010.0,2752.13564698,109.369609136,call,0.19,1.45,10.7556272584
440,2010.0,2749.32989979,73.1087236985,put,0.02,0.05,70.0921290188
441,2535.0,2749.32989979,92.2042858585,put,0.02,0.875,28.5228704977
442,2970.0,2749.32989979,108.026323077,call,0.02,0.05,19.1641901672
443,2900.0,2778.51665839,104.372237296,call,1.78,171.85,15.2039138573
444,2390.0,2749.32989979,86.9302734524,put,0.02,0.275,39.4129163802
445,2610.0,2749.32989979,94.93222331,put,0.02,2.2,23.3953501733
446,1850.0,2761.89547187,66.9829839269,put,0.78,10.2,26.9831184602
447,1660.0,2749.32989979,60.3783489251,put,0.02,0.025,104.258838145
448,2250.0,2757.92120455,81.5831865062,put,0.54,23.55,23.0765929971
449,2725.0,2749.32989979,99.1150607355,put,0.02,14.15,15.8084979515
450,1550.0,2749.32989979,56.3773739963,put,0.02,0.025,117.671189755
451,2100.0,2770.19359925,75.8069761106,put,1.28,44.9,22.8878620344
452,2475.0,2757.92120455,89.7415051568,put,0.54,49.55,19.695963674
453,2850.0,2761.89547187,103.190002266,call,0.78,99.2,14.1010552192
454,2975.0,2770.19359925,107.393216157,call,1.28,92.45,13.6740541029
455,3225.0,2749.32989979,117.301310412,call,0.02,0.025,35.0033146753
456,2025.0,2778.51665839,72.8806139737,put,1.78,54.4,22.7611968026
457,600.0,2761.89547187,21.7242110033,put,0.78,0.1,53.6071478391
458,1675.0,2795.23787182,59.9233438014,put,2.78,43.3,24.5435234601
459,3025.0,2757.92120455,109.684061858,call,0.54,14.4,10.9463216353
460,1725.0,2757.92120455,62.5471096548,put,0.54,3.45,30.8562750806
461,2000.0,2770.19359925,72.1971201053,put,1.28,34.8,23.8857075319
462,2000.0,2761.89547187,72.4140366778,put,0.78,17.1,25.2354725604
463,2375.0,2778.51665839,85.4772633025,put,1.78,112.9,19.718451175
464,2975.0,2761.89547187,107.715879558,call,0.78,46.05,12.3765485509
465,2500.0,2761.89547187,90.5175458472,put,0.78,75.5,19.1108950728
466,2095.0,2749.32989979,76.2003861434,put,0.02,0.05,61.4140629072
467,3100.0,2761.89547187,112.241756851,call,0.78,17.55,11.2566961163
468,1905.0,2749.32989979,69.2896112665,put,0.02,0.025,77.1545289883
469,2655.0,2749.32989979,96.5689857808,put,0.02,4.3,20.4246463212
470,1800.0,2795.23787182,64.3952351299,put,2.78,56.9,23.6275650101
471,2300.0,2761.89547187,83.2761421794,put,0.78,43.05,21.6209240754
472,2480.0,2749.32989979,90.2037983942,put,0.02,0.525,32.5568019982
473,1600.0,2761.89547187,57.9312293422,put,0.78,4.15,30.2031010755
474,750.0,2761.89547187,27.1552637542,put,0.78,0.25,49.501958053
475,1710.0,2749.32989979,62.1969738927,put,0.02,0.025,98.4386951086
476,950.0,2778.51665839,34.190905321,put,1.78,2.1,33.8980877257
477,3100.0,2770.19359925,111.905536163,call,1.28,50.15,12.5401932526
478,2800.0,2795.23787182,100.170365758,call,2.78,298.5,16.4899341637
479,2375.0,2757.92120455,86.1155857566,put,0.54,35.8,21.2263033243
480,2800.0,2749.32989979,101.842998187,call,0.02,2.875,11.3994332585
481,3800.0,2770.19359925,137.1745282,call,1.28,2.125,12.5955111309
482,2145.0,2749.32989979,78.0190111111,put,0.02,0.05,56.4440855664
483,2350.0,2757.92120455,85.2091059065,put,0.54,33.0,21.6094800026
484,650.0,2761.89547187,23.5345619203,put,0.78,0.15,52.4984500413
485,2475.0,2761.89547187,89.6123703888,put,0.78,70.6,19.4434902982
486,2470.0,2749.32989979,89.8400734006,put,0.02,0.5,33.4507799491
487,2245.0,2749.32989979,81.6562610463,put,0.02,0.1,49.6938379098
488,1300.0,2778.51665839,46.7875546498,put,1.78,7.5,29.5298441602
489,2410.0,2749.32989979,87.6577234395,put,0.02,0.3,37.6869004938
490,1450.0,2757.92120455,52.575831304,put,0.54,1.275,35.9182141119
491,2950.0,2778.51665839,106.171758628,call,1.78,148.3,14.808738807
492,2055.0,2749.32989979,74.7454861693,put,0.02,0.05,65.4603667646
493,2175.0,2778.51665839,78.2791779718,put,1.78,75.6,21.4842917308
494,2540.0,2749.32989979,92.3861483553,put,0.02,0.925,28.1791004081
495,2805.0,2749.32989979,102.024860684,call,0.02,2.15,11.1954386719
496,2180.0,2749.32989979,79.2920485884,put,0.02,0.05,53.0196972659
497,2105.0,2749.32989979,76.564111137,put,0.02,0.05,60.4124438187
498,2840.0,2749.32989979,103.297898161,call,0.02,0.375,11.4251242479
499,1600.0,2757.92120455,58.0147104044,put,0.54,2.175,33.0166881917
500,2525.0,2757.92120455,91.554464857,put,0.54,58.2,18.9190810999
501,1780.0,2749.32989979,64.7430488474,put,0.02,0.025,90.5525038723
502,2775.0,2749.32989979,100.933685703,call,0.02,9.6,12.7389598832
503,1900.0,2757.92120455,68.8924686052,put,0.54,6.7,28.1591427849
504,2025.0,2749.32989979,73.6543111888,put,0.02,0.025,65.0144119978
505,3200.0,2749.32989979,116.391997928,call,0.02,0.025,33.4347321002
506,2200.0,2778.51665839,79.1789386381,put,1.78,79.7,21.2722970109
507,3400.0,2778.51665839,122.367450623,call,1.78,25.2,12.1597116855
508,2860.0,2749.32989979,104.025348148,call,0.02,0.175,12.1226046167
509,2890.0,2749.32989979,105.116523129,call,0.02,0.1,13.9234120403
510,700.0,2761.89547187,25.3449128372,put,0.78,0.2,51.0665169078
511,2550.0,2778.51665839,91.7755879669,put,1.78,156.5,18.1362155234
512,3500.0,2795.23787182,125.212957197,call,2.78,55.55,13.3349738548
513,2000.0,2795.23787182,71.5502612555,put,2.78,85.7,22.2843137659
514,2725.0,2757.92120455,98.8063036575,put,0.54,108.45,15.5084227195
515,1930.0,2749.32989979,70.1989237503,put,0.02,0.05,78.5510098
516,2275.0,2770.19359925,82.1242241198,put,1.28,68.2,21.1120189992
517,1975.0,2770.19359925,71.294656104,put,1.28,32.6,24.1369848723
518,2125.0,2795.23787182,76.0221525839,put,2.78,106.8,21.3256847948
519,2015.0,2749.32989979,73.2905861952,put,0.02,0.05,69.5731669121
520,4000.0,2778.51665839,143.961706615,call,1.78,3.05,12.652197878
521,3050.0,2749.32989979,110.936123025,call,0.02,0.025,23.6046741958
522,2925.0,2761.89547187,105.905528641,call,0.78,64.3,13.0094373219
523,2150.0,2749.32989979,78.2008736078,put,0.02,0.075,57.8847423565
524,2075.0,2761.89547187,75.1295630532,put,0.78,21.85,24.3625685684
525,2100.0,2761.89547187,76.0347385117,put,0.78,23.65,24.0662053007
526,2675.0,2757.92120455,96.9933439574,put,0.54,93.0,16.410148284
527,600.0,2778.51665839,21.5942559922,put,1.78,0.525,41.1027436317
528,1700.0,2749.32989979,61.8332488992,put,0.02,0.025,99.5898087936
529,2550.0,2770.19359925,92.0513281342,put,1.28,124.3,18.189655787
530,2915.0,2749.32989979,106.025835612,call,0.02,0.05,14.92774874
531,1885.0,2749.32989979,68.5621612794,put,0.02,0.025,79.2435294015
532,3125.0,2749.32989979,113.664060477,call,0.02,0.025,28.614462706
533,2650.0,2757.92120455,96.0868641073,put,0.54,86.05,16.8418281404
534,1825.0,2749.32989979,66.3798113183,put,0.02,0.025,85.63307717
535,1250.0,2761.89547187,45.2587729236,put,0.78,1.075,35.5851005255
536,1990.0,2749.32989979,72.3812737114,put,0.02,0.05,72.1791047681
537,2200.0,2749.32989979,80.0194985755,put,0.02,0.1,54.2366733845
538,1925.0,2795.23787182,68.8671264584,put,2.78,73.8,22.7743970225
539,2460.0,2749.32989979,89.4763484071,put,0.02,0.425,33.8384472825
540,1725.0,2770.19359925,62.2700160908,put,1.28,16.3,26.7084669222
541,2080.0,2752.13564698,75.5776701008,put,0.19,2.675,31.8280455527
542,3050.0,2761.89547187,110.431405934,call,0.78,26.2,11.6079211972
543,1600.0,2778.51665839,57.5846826459,put,1.78,18.75,26.556729551
544,3150.0,2757.92120455,114.216461109,call,0.54,4.6,10.8332685219
545,2895.0,2749.32989979,105.298385625,call,0.02,0.1,14.3496672279
546,1100.0,2749.32989979,40.0097492877,put,0.02,0.025,184.390540122
547,2425.0,2770.19359925,87.5390081277,put,1.28,95.35,19.547260634
548,3250.0,2761.89547187,117.672809601,call,0.78,6.2,11.2177206656
549,1750.0,2778.51665839,62.983246644,put,1.78,28.05,25.182413437
550,3600.0,2757.92120455,130.53309841,call,0.54,0.65,14.4537782044
551,3200.0,2795.23787182,114.480418009,call,2.78,128.35,14.5467392986
552,2500.0,2778.51665839,89.9760666342,put,1.78,142.9,18.5971408717
553,2990.0,2749.32989979,108.753773064,call,0.02,0.05,20.6628529233
554,3100.0,2778.51665839,111.570322626,call,1.78,89.5,13.7026489678
555,2425.0,2757.92120455,87.9285454567,put,0.54,42.15,20.4660194448
556,950.0,2761.89547187,34.3966674219,put,0.78,0.4,42.5803759919
557,1050.0,2761.89547187,38.0173692558,put,0.78,0.525,39.7901288763
558,2575.0,2795.23787182,92.1209613664,put,2.78,220.55,18.1345154009
559,2850.0,2749.32989979,103.661623155,call,0.02,0.25,11.739773923
560,2000.0,2778.51665839,71.9808533074,put,1.78,51.4,22.9775368391
561,2985.0,2749.32989979,108.571910567,call,0.02,0.05,20.2901098592
562,2700.0,2761.89547187,97.758949515,put,0.78,126.4,16.2262099117
563,1995.0,2749.32989979,72.5631362082,put,0.02,0.05,71.6556766687
564,1400.0,2778.51665839,50.3865973152,put,1.78,10.4,28.5115646564
565,2605.0,2749.32989979,94.7503608132,put,0.02,2.05,23.7216204447
566,2760.0,2749.32989979,100.388098213,call,0.02,16.55,13.8124904739
567,2265.0,2749.32989979,82.3837110334,put,0.02,0.1,47.6955084532
568,2400.0,2778.51665839,86.3770239688,put,1.78,118.4,19.4914067581
569,1770.0,2749.32989979,64.3793238539,put,0.02,0.025,91.6612673098
570,2210.0,2749.32989979,80.383223569,put,0.02,0.1,53.2213753855
571,2475.0,2749.32989979,90.0219358974,put,0.02,0.5,32.8978632455
572,1250.0,2749.32989979,45.4656241906,put,0.02,0.025,159.558435268
573,3100.0,2795.23787182,110.902904946,call,2.78,163.25,15.0246223266
574,2285.0,2749.32989979,83.1111610204,put,0.02,0.1,45.7091891289
575,3500.0,2770.19359925,126.344960184,call,1.28,6.05,11.6002649293
576,1575.0,2778.51665839,56.6849219796,put,1.78,17.5,26.7994750362
577,2635.0,2749.32989979,95.8415357938,put,0.02,3.15,21.723684732
578,2085.0,2749.32989979,75.8366611499,put,0.02,0.05,62.4196074781
579,1950.0,2795.23787182,69.7615047241,put,2.78,77.7,22.618609516
580,1675.0,2778.51665839,60.2839646449,put,1.78,23.0,25.8558665502
581,1870.0,2749.32989979,68.0165737891,put,0.02,0.025,80.8234256072
582,1500.0,2761.89547187,54.3105275083,put,0.78,2.875,31.6511311494
583,2675.0,2749.32989979,97.2964357679,put,0.02,5.95,19.1181572818
584,2320.0,2749.32989979,84.3841984978,put,0.02,0.15,43.9540623864
585,2500.0,2770.19359925,90.2464001316,put,1.28,111.85,18.730415674
586,1550.0,2761.89547187,56.1208784253,put,0.78,3.45,30.9066970085
587,1375.0,2778.51665839,49.4868366488,put,1.78,9.6,28.7603188901
588,2360.0,2749.32989979,85.8390984719,put,0.02,0.2,41.1287282042
589,3010.0,2749.32989979,109.481223051,call,0.02,0.05,22.1415295118
590,3050.0,2770.19359925,110.100608161,call,1.28,65.0,12.9660401179
591,2035.0,2749.32989979,74.0180361823,put,0.02,0.05,67.5082216023
592,2465.0,2749.32989979,89.6582109039,put,0.02,0.45,33.5397653935
593,1675.0,2752.13564698,60.8618256821,put,0.19,0.725,44.755599219
594,2570.0,2749.32989979,93.4773233359,put,0.02,1.325,26.1650071001
595,1625.0,2749.32989979,59.1053114478,put,0.02,0.025,108.432246754
596,2215.0,2749.32989979,80.5650860657,put,0.02,0.1,52.714988285
597,100.0,2761.89547187,3.62070183389,put,0.78,0.025,107.004373992
598,2940.0,2749.32989979,106.935148096,call,0.02,0.05,16.8756903922
599,3000.0,2749.32989979,109.117498057,call,0.02,0.025,20.1446828813
600,2450.0,2770.19359925,88.441472129,put,1.28,100.75,19.2915548732
601,3000.0,2761.89547187,108.621055017,call,0.78,38.45,12.0933318392
602,3125.0,2761.89547187,113.146932309,call,0.78,14.4,11.1448871163
603,2150.0,2795.23787182,76.9165308496,put,2.78,111.65,21.1518738799
604,3075.0,2778.51665839,110.67056196,call,1.78,98.1,13.8823298415
605,1375.0,2761.89547187,49.784650216,put,0.78,1.775,33.5405374508
606,1920.0,2749.32989979,69.8351987568,put,0.02,0.025,75.6006466074
607,1930.0,2752.13564698,70.1273573531,put,0.19,1.625,36.4644874067
608,3175.0,2770.19359925,114.612928167,call,1.28,33.05,12.0125314535
609,2300.0,2795.23787182,82.2828004438,put,2.78,144.0,20.0945442086
610,2710.0,2749.32989979,98.5694732452,put,0.02,10.85,16.8212937542
611,2525.0,2749.32989979,91.840560865,put,0.02,0.775,29.1563641384
612,1820.0,2749.32989979,66.1979488215,put,0.02,0.025,86.1741430543
613,2350.0,2761.89547187,85.0864930964,put,0.78,49.9,21.0352100568
614,1880.0,2749.32989979,68.3802987827,put,0.02,0.025,79.7688960834
615,1825.0,2770.19359925,65.8798720961,put,1.28,21.7,25.6625548232
616,2375.0,2761.89547187,85.9916685549,put,0.78,53.55,20.7217248017
617,2925.0,2770.19359925,105.588288154,call,1.28,114.25,14.1919699594
618,2050.0,2749.32989979,74.5636236726,put,0.02,0.025,62.5643409445
619,1720.0,2749.32989979,62.5606988863,put,0.02,0.025,97.2938706172
620,1000.0,2778.51665839,35.9904266537,put,1.78,2.6,33.2537219316
621,2375.0,2749.32989979,86.3846859621,put,0.02,0.225,40.0935027346
622,2225.0,2757.92120455,80.6767066561,put,0.54,21.6,23.4356036397
623,2800.0,2761.89547187,101.379651349,call,0.78,126.65,14.8607311645
624,2885.0,2749.32989979,104.934660632,call,0.02,0.1,13.495001264
625,1875.0,2770.19359925,67.6848000987,put,1.28,24.9,25.1430160233
626,2810.0,2752.13564698,102.102525473,call,0.19,35.8,12.4945418143
627,1955.0,2749.32989979,71.1082362341,put,0.02,0.05,75.8753222924
628,1825.0,2778.51665839,65.682528643,put,1.78,33.85,24.5007864973
629,2450.0,2749.32989979,89.1126234136,put,0.02,0.4,34.6617406924
630,1200.0,2757.92120455,43.5110328033,put,0.54,0.55,41.6688205625
631,3600.0,2778.51665839,129.565535953,call,1.78,10.6,11.8789007962
632,1400.0,2761.89547187,50.6898256744,put,0.78,1.975,33.188825003
633,2000.0,2757.92120455,72.5183880055,put,0.54,9.7,26.6852784209
634,500.0,2778.51665839,17.9952133268,put,1.78,0.325,43.9195522087
635,2125.0,2778.51665839,76.4796566391,put,1.78,67.95,21.9139261206
636,2425.0,2749.32989979,88.2033109298,put,0.02,0.325,36.4441977903
637,2500.0,2795.23787182,89.4378265693,put,2.78,197.9,18.7149482701
638,2950.0,2761.89547187,106.8107041,call,0.78,54.65,12.6808640221
639,1700.0,2795.23787182,60.8177220671,put,2.78,45.8,24.357741128
640,1575.0,2761.89547187,57.0260538838,put,0.78,3.75,30.5103173361
641,1965.0,2749.32989979,71.4719612276,put,0.02,0.05,74.8134293843
642,2925.0,2757.92120455,106.058142458,call,0.54,38.65,12.1450025117
643,2405.0,2749.32989979,87.4758609427,put,0.02,0.3,38.2162196596
644,2730.0,2749.32989979,99.2969232323,put,0.02,15.5,15.4854829203
645,1975.0,2795.23787182,70.6558829898,put,2.78,81.65,22.4534175997
646,2400.0,2770.19359925,86.6365441264,put,1.28,90.25,19.8075917457
647,1650.0,2761.89547187,59.7415802592,put,0.78,4.95,29.4887558133
648,2660.0,2749.32989979,96.7508482776,put,0.02,4.65,20.0887449641
649,1800.0,2770.19359925,64.9774080948,put,1.28,20.25,25.9288364707
650,2325.0,2778.51665839,83.6777419698,put,1.78,102.4,20.1594208031
651,1500.0,2795.23787182,53.6626959416,put,2.78,28.5,25.8762814074
652,1325.0,2761.89547187,47.974299299,put,0.78,1.45,34.3210668902
653,1225.0,2761.89547187,44.3535974651,put,0.78,0.975,36.0364101803
654,1860.0,2749.32989979,67.6528487956,put,0.02,0.025,81.883071015
655,2050.0,2795.23787182,73.3390177868,put,2.78,94.25,21.9484984036
656,1675.0,2749.32989979,60.9239364154,put,0.02,0.025,102.495656967
657,2690.0,2749.32989979,97.8420232582,put,0.02,7.7,18.1723214222
658,2875.0,2770.19359925,103.783360151,call,1.28,138.45,14.7184163119
659,2975.0,2778.51665839,107.071519295,call,1.78,137.3,14.6192065144
660,3500.0,2761.89547187,126.724564186,call,0.78,2.15,12.6816373535
661,2400.0,2757.92120455,87.0220656066,put,0.54,38.85,20.846597725
662,2675.0,2795.23787182,95.6984744292,put,2.78,254.65,17.4004292172
663,3600.0,2795.23787182,128.79047026,call,2.78,40.7,13.0292913034
664,2810.0,2749.32989979,102.20672318,call,0.02,1.6,11.0434619253
665,1100.0,2761.89547187,39.8277201728,put,0.78,0.625,38.6420998262
666,3700.0,2770.19359925,133.564672195,call,1.28,2.85,12.1960930361
667,2350.0,2749.32989979,85.4753734783,put,0.02,0.2,42.1593276888
668,2070.0,2749.32989979,75.2910736596,put,0.02,0.05,63.9354096884
669,2790.0,2749.32989979,101.479273193,call,0.02,4.85,11.8338073962
670,1000.0,2761.89547187,36.2070183389,put,0.78,0.45,41.0785323375
671,2125.0,2757.92120455,77.0507872559,put,0.54,15.25,24.8881208483
672,3025.0,2770.19359925,109.198144159,call,1.28,73.4,13.1881563242
673,1350.0,2778.51665839,48.5870759825,put,1.78,8.9,29.0402066081
674,1725.0,2749.32989979,62.742561383,put,0.02,0.025,96.7237912084
675,2650.0,2778.51665839,95.3746306323,put,1.78,186.85,17.1955217089
676,2275.0,2778.51665839,81.8782206371,put,1.78,92.75,20.6036068297
677,1800.0,2757.92120455,65.266549205,put,0.54,4.65,29.7346809681
678,2275.0,2757.92120455,82.4896663563,put,0.54,25.65,22.7136875072
679,2715.0,2749.32989979,98.751335742,put,0.02,11.85,16.4867050325
680,1900.0,2761.89547187,68.7933348439,put,0.78,12.2,26.414041448
681,2650.0,2770.19359925,95.6611841395,put,1.28,152.25,17.0351066312
682,2175.0,2757.92120455,78.863746956,put,0.54,18.2,24.1727176928
683,2200.0,2770.19359925,79.4168321158,put,1.28,57.2,21.8728999067
684,3400.0,2749.32989979,123.666497798,call,0.02,0.025,45.5115026461
685,2395.0,2749.32989979,87.1121359492,put,0.02,0.275,38.8865476611
686,3075.0,2749.32989979,111.845435509,call,0.02,0.025,25.29732721
687,2380.0,2749.32989979,86.5665484589,put,0.02,0.25,40.0373132508
688,1150.0,2761.89547187,41.6380710897,put,0.78,0.725,37.4466345327
689,2300.0,2749.32989979,83.6567485107,put,0.02,0.15,45.9871868055
690,4000.0,2757.92120455,145.036776011,call,0.54,0.075,15.8768782478
691,2775.0,2778.51665839,99.873433964,put,1.78,230.9,15.9394714223
692,1625.0,2757.92120455,58.9211902545,put,0.54,2.4,32.5995928337
693,1400.0,2749.32989979,50.9214990935,put,0.02,0.025,137.517015411
694,1650.0,2749.32989979,60.0146239316,put,0.02,0.025,105.44267202
695,2275.0,2749.32989979,82.7474360269,put,0.02,0.125,47.6927011501
696,2645.0,2749.32989979,96.2052607873,put,0.02,3.65,21.0381336014
697,2600.0,2749.32989979,94.5684983165,put,0.02,1.925,24.0813449809
